,Feature,Score
0,RunFootage,35.86095353149466
1,LengthOffset,9.69677833778437
2,Z1,0.16557238224983906
3,Z2,0.18889652192918494
4,Z3,0.4548642023229684
5,Z4,1.19848273437505
6,Z5,0.31106159006658385
7,Z6,0.7885597347732438
8,Z7,3.7189992000021226
9,Z8,1.0607695221751208
10,Z9,1.8089076573305558
11,Z10,2.510566091228979
12,Z11,1.4742818907770203
13,Z12,0.00686735470656678
14,Z13,0.03947722631502069
15,Z14,0.6820004388064451
16,Z15,0.055189599007282514
17,Z16,0.007483846151097337
18,Z17,8.54007455012367
19,Z18,8.659707002621275
20,Z19,3.181530524918518
21,CST_TOP_Real,3.6928108889460276
22,CST_Centre_Real,0.03632565841651731
23,CST_Bottom_Real,0.3115753227692639
24,CS_Speed_Real,4.306557087172466
25,Nip_Speed_Real,4.261548545603835
26,Screw_Speed_Real,7.189834864750958
27,Back_Pressure_Real,0.42619425076659456
28,Melt_Temp_Real,0.28014232882073953
29,Chiller_Temp_Real,0.6644531469820392
30,Motor_Amps_Real,0.2980127740605084
31,TotalRunFootage,32.95431036973948
32,width,1.0824209233167705
33,thickness,65.69200701409522
34,amb_tensile_pre_cure,81.34071741162894
35,amb_elongation_pre_cure,18.129131209709353
36,month,15.148492766588474
37,ten_day_mean,2.353213335466683
38,ten_day_max,5.881131462614625
39,ten_day_min,1.3145535457216726
40,ten_day_swing,0.5617937090475162
41,Machine_1,6.811442471881582
42,Machine_2,8.84697612761782
43,Operator_0,1.0531030820902894
44,Operator_1218,1.3633374691906834
45,Operator_1251,1.2372644810840556
46,Operator_1324,0.1261294960870185
47,Operator_1476,0.6129256434070547
48,Operator_1546,0.24727167825699886
49,Operator_1580,5.992465109065041
50,Operator_1731,0.3146579678648276
51,Operator_1766,32.18646803504923
52,Operator_1791,10.479860475101635
53,Operator_1793,0.7263791475956844
54,Operator_2136,0.8274399823074521
55,Operator_2167,5.842268516055931
56,Operator_2178,2.2454976881070667
57,Operator_2198,7.800732559186905
58,Operator_2201,0.04303673009122301
59,Operator_2218,1.3450565704667836
60,Operator_2223,6.406708595387841
61,Operator_2238,0.000925700965214944
62,Operator_2262,1.8310943562351263
63,Operator_2275,2.3891445165978946
64,Operator_2469,0.604128072445545
