,feature,mutual_info_score
37,ten_day_mean,0.35294470436117775
39,ten_day_min,0.27897836297902856
40,ten_day_swing,0.26797363183424205
26,Screw_Speed_Real,0.2556848237839817
38,ten_day_max,0.23050778771141567
35,amb_elongation_pre_cure,0.22388469219917573
24,CS_Speed_Real,0.20685163876445922
25,Nip_Speed_Real,0.19205195218546556
34,amb_tensile_pre_cure,0.17080255918500642
23,CST_Bottom_Real,0.15686097183640668
21,CST_TOP_Real,0.13097406233304598
0,RunFootage,0.13037089125511914
31,TotalRunFootage,0.12165780429168005
22,CST_Centre_Real,0.11035776874743264
32,width,0.10621223149027914
33,thickness,0.09945526528687632
8,Z7,0.09779495615743117
11,Z10,0.08675842058086647
27,Back_Pressure_Real,0.08036871006418655
20,Z19,0.07313352266360962
5,Z4,0.06978124532329422
30,Motor_Amps_Real,0.06045417257696961
6,Z5,0.05839988181711786
2,Z1,0.056301682205229575
12,Z11,0.05454368505213325
18,Z17,0.05334193320621372
36,month,0.05271476333605718
10,Z9,0.05110350577251399
19,Z18,0.04971480624382085
15,Z14,0.04911003529192537
9,Z8,0.04736028806251813
28,Melt_Temp_Real,0.04424103669202406
16,Z15,0.0439481713035339
17,Z16,0.04299562857675898
3,Z2,0.0406362897887087
14,Z13,0.03987379281109704
13,Z12,0.038400895196016194
55,Operator_2167,0.03640466142674614
7,Z6,0.03470509251386833
4,Z3,0.022064251909873933
29,Chiller_Temp_Real,0.021697646950578076
49,Operator_1580,0.020492445123568626
63,Operator_2275,0.015606973789196843
44,Operator_1218,0.013529475204276942
61,Operator_2238,0.010571101074587697
56,Operator_2178,0.010485713809121
59,Operator_2218,0.009931943134259491
57,Operator_2198,0.005540882267240477
42,Machine_2,0.004533899611794956
1,LengthOffset,0.004437457268307465
52,Operator_1791,0.004010552903363385
53,Operator_1793,0.0036021880174790244
50,Operator_1731,0.0013442833441605906
60,Operator_2223,0.0
58,Operator_2201,0.0
62,Operator_2262,0.0
47,Operator_1476,0.0
54,Operator_2136,0.0
51,Operator_1766,0.0
48,Operator_1546,0.0
46,Operator_1324,0.0
45,Operator_1251,0.0
43,Operator_0,0.0
41,Machine_1,0.0
64,Operator_2469,0.0
