feature,mutual_info_score,model
ten_day_mean,0.368648243151106,All Features
ten_day_min,0.27379643383359564,All Features
Screw_Speed_Real,0.25354626336335495,All Features
ten_day_swing,0.24805547334109046,All Features
ten_day_max,0.23669137388332406,All Features
amb_elongation_pre_cure,0.22521107222304715,All Features
CS_Speed_Real,0.2084446803273876,All Features
Nip_Speed_Real,0.19435237536606564,All Features
amb_tensile_pre_cure,0.18107087855892767,All Features
CST_Bottom_Real,0.1659995003725565,All Features
TotalRunFootage,0.13356559474824925,All Features
CST_TOP_Real,0.13314263479141752,All Features
RunFootage,0.11695009486524732,All Features
thickness,0.11229892293765764,All Features
CST_Centre_Real,0.10948728286762188,All Features
Z7,0.10108266340661731,All Features
Z10,0.0915096905705135,All Features
width,0.08929187032987462,All Features
Back_Pressure_Real,0.07111139909406927,All Features
Z6,0.062228137319327415,All Features
Z1,0.0617520770867197,All Features
Motor_Amps_Real,0.060483822452096936,All Features
month,0.05769542146320239,All Features
Z11,0.055639623094815294,All Features
Z19,0.05537516507693585,All Features
Z4,0.05512853347422486,All Features
Z14,0.05260864237289531,All Features
Z5,0.047079668034027744,All Features
Z18,0.04559155759397737,All Features
Z13,0.043092767854323144,All Features
Melt_Temp_Real,0.042156901887360654,All Features
Z15,0.040723433310074775,All Features
Z8,0.03991706305774634,All Features
Z12,0.03821419195844378,All Features
Z9,0.03695256250929568,All Features
Z17,0.03583780184895313,All Features
Z16,0.031389321948235516,All Features
Z2,0.02628840430162871,All Features
LengthOffset,0.018512077225181667,All Features
Chiller_Temp_Real,0.01799372756373052,All Features
Operator_1580,0.015602319011019494,All Features
Operator_2198,0.013867530311303833,All Features
Machine_2,0.01091113313755332,All Features
Z3,0.010769164911347495,All Features
Machine_1,0.009216644980078792,All Features
Operator_2238,0.00899760401505767,All Features
Operator_2218,0.007620510118518942,All Features
Operator_0,0.003182969577771644,All Features
Operator_2136,0.0009568899016274557,All Features
Operator_1766,0.0009278391143507925,All Features
Operator_1251,0.0,All Features
Operator_2178,0.0,All Features
Operator_2275,0.0,All Features
Operator_2262,0.0,All Features
Operator_2223,0.0,All Features
Operator_2201,0.0,All Features
Operator_2167,0.0,All Features
Operator_1324,0.0,All Features
Operator_1793,0.0,All Features
Operator_1791,0.0,All Features
Operator_1731,0.0,All Features
Operator_1218,0.0,All Features
Operator_1546,0.0,All Features
Operator_1476,0.0,All Features
Operator_2469,0.0,All Features
amb_elongation_pre_cure,0.23336615490265267,Top 5 Chi2
amb_tensile_pre_cure,0.1752250777998201,Top 5 Chi2
RunFootage,0.11710722266761842,Top 5 Chi2
thickness,0.09359458235563989,Top 5 Chi2
month,0.04822530293002081,Top 5 Chi2
Screw_Speed_Real,0.2529008616873336,Machine Features
CS_Speed_Real,0.2024766872372712,Machine Features
Nip_Speed_Real,0.19174620702448797,Machine Features
CST_Bottom_Real,0.16575671239048217,Machine Features
CST_TOP_Real,0.12972382664813842,Machine Features
CST_Centre_Real,0.11830782002710571,Machine Features
width,0.11773785512157908,Machine Features
RunFootage,0.11748935480213629,Machine Features
TotalRunFootage,0.11384514400921275,Machine Features
Z7,0.09855150101701171,Machine Features
Z10,0.0850767642702912,Machine Features
Back_Pressure_Real,0.08289603581639882,Machine Features
Z19,0.06749845566444623,Machine Features
Motor_Amps_Real,0.06250527826450059,Machine Features
Z17,0.06129428423955274,Machine Features
Z1,0.060987152336033024,Machine Features
Z11,0.060132482636138906,Machine Features
Z4,0.0507515665377718,Machine Features
Melt_Temp_Real,0.0486613620370806,Machine Features
Z6,0.04831783128331346,Machine Features
Z13,0.04792088262699856,Machine Features
Z18,0.04774415502932006,Machine Features
Z14,0.04520611341157066,Machine Features
Z8,0.04434157048058607,Machine Features
Z9,0.04383979472969313,Machine Features
Z5,0.04262371832073364,Machine Features
Z15,0.04180392747669259,Machine Features
Z3,0.0327549579152111,Machine Features
Z12,0.031659847404950314,Machine Features
Z16,0.02756220597778203,Machine Features
LengthOffset,0.014187030699956749,Machine Features
Z2,0.011545247881791676,Machine Features
Machine_1,0.010463844070565775,Machine Features
Chiller_Temp_Real,0.00907456974276366,Machine Features
Machine_2,0.0,Machine Features
ten_day_mean,0.3574415286521697,Weather Features
ten_day_min,0.27445417724832355,Weather Features
ten_day_swing,0.27116982042533566,Weather Features
ten_day_max,0.2218245402314829,Weather Features
month,0.04566131869464951,Weather Features
amb_elongation_pre_cure,0.22694906694361183,Quality Features
amb_tensile_pre_cure,0.15758375405529357,Quality Features
thickness,0.09451717288961037,Quality Features
